#full_name,epoch_mjd,q,e,i,w,om,tp_cal,orbit_id,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,sigma_per,K1,K2
"     C/2003 M1 (SOHO)",52806.63,0.0044,1.0,144.57,79.70,0.22,20030616.6300000,SAO_2008,,,,,,,,,,,,
"     C/2003 M2 (SOHO)",52808.9,0.0043,1.0,143.54,86.95,8.57,20030618.9000000,SAO_2008,,,,,,,,,,,,
"     C/2003 M3 (SOHO)",52808.39,0.0044,1.0,141.43,96.21,20.06,20030618.3900000,SAO_2008,,,,,,,,,,,,
"     C/2003 M4 (SOHO)",52808.95,0.0068,1.0,141.94,89.00,10.56,20030618.9500000,SAO_2008,,,,,,,,,,,,
"     C/2003 M5 (SOHO)",52809.96,0.0070,1.0,139.29,64.34,340.42,20030619.9600000,SAO_2008,,,,,,,,,,,,
"     C/2003 M6 (SOHO)",52810.16,0.0066,1.0,143.20,91.42,13.06,20030620.1600000,SAO_2008,,,,,,,,,,,,
"     C/2003 M7 (SOHO)",52810.9,0.0050,1.0,145.25,65.47,344.94,20030620.9000000,SAO_2008,,,,,,,,,,,,
"     C/2003 M8 (SOHO)",52812.70,0.0054,1.0,147.58,64.96,345.29,20030622.7000000,SAO_2008,,,,,,,,,,,,
"     C/2003 M9 (SOHO)",52813.51,0.0053,1.0,146.97,76.12,358.61,20030623.5100000,SAO_2008,,,,,,,,,,,,
"     C/2003 M10 (SOHO)",52813.61,0.0058,1.0,148.86,61.51,341.76,20030623.6100000,SAO_2008,,,,,,,,,,,,
"     C/2003 M11 (SOHO)",52813.77,0.0052,1.0,145.69,60.98,341.37,20030623.7700000,SAO_2008,,,,,,,,,,,,
"     C/2003 M12 (SOHO)",52813.88,0.0048,1.0,143.12,87.16,8.42,20030623.8800000,SAO_2008,,,,,,,,,,,,
"     C/2003 N1 (SOHO)",52826.13,0.0049,1.0,144.79,85.86,7.21,20030706.1300000,SAO_2008,,,,,,,,,,,,
"     C/2003 N2 (SOHO)",52833.64,0.0048,1.0,146.13,86.25,8.40,20030713.6400000,SAO_2008,,,,,,,,,,,,
"     C/2003 O1 (LINEAR)",53116,6.847361683627384,1.001388829633147,117.981689737887,81.67349308658656,347.6439989685526,20040317.2071796,"JPL 56",,10.3,,,,,,,6.39885,,4.5,
"     C/2003 O4 (SOHO)",52839.21,0.0053,1.0,134.30,58.31,330.26,20030719.2100000,SAO_2008,,,,,,,,,,,,
"     C/2003 O5 (SOHO)",52841.62,0.0067,1.0,139.42,64.35,339.90,20030721.6200000,SAO_2008,,,,,,,,,,,,
"     C/2003 O6 (SOHO)",52845.18,0.0050,1.0,144.55,87.25,9.49,20030725.1800000,SAO_2008,,,,,,,,,,,,
"     C/2003 O7 (SOHO)",52846.47,0.0051,1.0,144.99,75.97,358.30,20030726.4700000,SAO_2008,,,,,,,,,,,,
"     C/2003 O8 (SOHO)",52850.70,0.0052,1.0,145.34,73.97,356.06,20030730.7000000,SAO_2008,,,,,,,,,,,,
"     C/2003 P1 (SOHO)",52854.58,0.0054,1.0,145.12,73.86,355.98,20030803.5800000,SAO_2008,,,,,,,,,,,,
"     C/2003 P2 (SOHO)",52855.36,0.0053,1.0,139.66,90.58,13.52,20030804.3600000,SAO_2008,,,,,,,,,,,,
"     C/2003 P3 (SOHO)",52857.41,0.0050,1.0,144.43,87.34,8.87,20030806.4100000,SAO_2008,,,,,,,,,,,,
"     C/2003 Q1 (SOHO)",52871.97,0.0320,1.0,29.33,52.38,43.43,20030820.9700000,SAO_2008,,,,,,,,,,,,
"     C/2003 Q2 (SOHO)",52876.09,0.0049,1.0,144.57,87.31,9.12,20030825.0900000,SAO_2008,,,,,,,,,,,,
"     C/2003 Q3 (SOHO)",52875.8,0.0053,1.0,144.84,85.40,7.95,20030824.8000000,SAO_2008,,,,,,,,,,,,
"     C/2003 Q4 (SOHO)",52876.78,0.0051,1.0,144.43,86.73,9.27,20030825.7800000,SAO_2008,,,,,,,,,,,,
"     C/2003 Q5 (SOHO)",52878.76,0.0050,1.0,144.70,86.64,8.63,20030827.7600000,SAO_2008,,,,,,,,,,,,
"     C/2003 Q6 (SOHO)",52877.51,0.0366,1.0,25.43,33.17,56.30,20030826.5100000,SAO_2008,,,,,,,,,,,,
"     C/2003 Q7 (SOHO)",52881.4,0.0060,1.0,144.06,90.40,11.23,20030830.4000000,SAO_2008,,,,,,,,,,,,
"     C/2003 Q8 (SOHO)",52881.04,0.0050,1.0,144.94,86.07,8.04,20030830.0400000,SAO_2008,,,,,,,,,,,,
"     C/2003 Q9 (SOHO)",52882.57,0.0051,1.0,144.26,81.97,3.13,20030831.5700000,SAO_2008,,,,,,,,,,,,
"     C/2003 Q10 (SOHO)",52876.67,0.0054,1.0,144.48,91.77,11.64,20030825.6700000,SAO_2008,,,,,,,,,,,,
"     P/2003 QX29 (NEAT)",52863,4.239146064694966,.4717880205498272,11.39651577691879,37.22622643609276,264.5802565130208,20021026.2165458,"JPL 12",,7.1,13.4,,,,,22.7359656268997,3.2326,1.2289,14.5,5.
"     C/2003 R1 (LINEAR)",52926,2.101884323064261,.8933144890077785,149.1956325485743,302.6901119594116,356.6890631748591,20030629.6170121,"JPL 15",,14.6,,,,,,87.4506931709757,1.25125,12.063,7.5,
"     C/2003 R2 (SOHO)",52887.93,0.0050,1.0,141.91,91.87,18.95,20030905.9300000,SAO_2008,,,,,,,,,,,,
"     C/2003 R3 (SOHO)",52891.62,0.0050,1.0,144.75,86.26,8.79,20030909.6200000,SAO_2008,,,,,,,,,,,,
"     C/2003 R4 (SOHO)",52888.96,0.0316,1.0,92.36,105.04,173.06,20030906.9600000,SAO_2008,,,,,,,,,,,,
"     C/2003 S3 (LINEAR)",52933,8.12952514796411,1.001805531577256,151.4977543965032,154.5701710944565,226.388801905116,20030410.5375051,"JPL 14",,6.7,10.9,,,,,,7.16548,,9.25,5.
